StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1,Q2.1,Q2.2,Q2.3,Q2.4,Q2.5,Q91,Q93,Q3.1,Q3.2,Q4.2,Q5.1_1,Q5.1_2,Q5.1_3,Q5.1_4,Q6.1_1,Q6.1_2,Q6.1_3,Q6.1_4,Q7.1_1,Q7.1_2,Q7.1_3,Q7.1_4,Q8.1_1,Q8.1_2,Q8.1_3,Q8.1_4,Q9.1_1,Q9.1_2,Q9.1_3,Q9.1_4,Q10.1_1,Q10.1_2,Q10.1_3,Q10.1_4,Q11.1_1,Q11.1_2,Q11.1_3,Q11.1_4,Q12.1_1,Q12.1_2,Q12.1_3,Q12.1_4,Q13.1_1,Q13.1_2,Q13.1_3,Q13.1_4,Q14.1_1,Q14.1_2,Q14.1_3,Q14.1_4,Q15.1_1,Q15.1_2,Q15.1_3,Q15.1_4,Q16.1_1,Q16.1_2,Q16.1_3,Q16.1_4,Q17.1_1,Q17.1_2,Q17.1_3,Q17.1_4,Q18.1_1,Q18.1_2,Q18.1_3,Q18.1_4,Q19.1_1,Q19.1_2,Q19.1_3,Q19.1_4,Q20.1_1,Q20.1_2,Q20.1_3,Q20.1_4,Q21.1_1,Q21.1_2,Q21.1_3,Q21.1_4,Q22.1_1,Q22.1_2,Q22.1_3,Q22.1_4,Q23.1_1,Q23.1_2,Q23.1_3,Q23.1_4,Q24.1_1,Q24.1_2,Q24.1_3,Q24.1_4,Q25.1_1,Q25.1_2,Q25.1_3,Q25.1_4,Q26.1_1,Q26.1_2,Q26.1_3,Q26.1_4,Q27.1_1,Q27.1_2,Q27.1_3,Q27.1_4,Q28.1_1,Q28.1_2,Q28.1_3,Q28.1_4,Q29.1_1,Q29.1_2,Q29.1_3,Q29.1_4,Q30.1_1,Q30.1_2,Q30.1_3,Q30.1_4,Q31.1_1,Q31.1_2,Q31.1_3,Q31.1_4,Q32.1_1,Q32.1_2,Q32.1_3,Q32.1_4,Q33.1_1,Q33.1_2,Q33.1_3,Q33.1_4,Q34.1_1,Q34.1_2,Q34.1_3,Q34.1_4,Q35.1_1,Q35.1_2,Q35.1_3,Q35.1_4,Q36.1_1,Q36.1_2,Q36.1_3,Q36.1_4,Q37.1_1,Q37.1_2,Q37.1_3,Q37.1_4,Q38.1_1,Q38.1_2,Q38.1_3,Q38.1_4,Q39.1_1,Q39.1_2,Q39.1_3,Q39.1_4,Q40.1_1,Q40.1_2,Q40.1_3,Q40.1_4,Q41.1_1,Q41.1_2,Q41.1_3,Q41.1_4,Q42.1_1,Q42.1_2,Q42.1_3,Q42.1_4,Q43.1_1,Q43.1_2,Q43.1_3,Q43.1_4,Q44.1_1,Q44.1_2,Q44.1_3,Q44.1_4,Q45.1_1,Q45.1_2,Q45.1_3,Q45.1_4,Q46.1_1,Q46.1_2,Q46.1_3,Q46.1_4,Q47.1_1,Q47.1_2,Q47.1_3,Q47.1_4,Q48.1_1,Q48.1_2,Q48.1_3,Q48.1_4,Q49.1_1,Q49.1_2,Q49.1_3,Q49.1_4,Q50.1_1,Q50.1_2,Q50.1_3,Q50.1_4,Q51.1_1,Q51.1_2,Q51.1_3,Q51.1_4,Q52.1_1,Q52.1_2,Q52.1_3,Q52.1_4,Q53.1_1,Q53.1_2,Q53.1_3,Q53.1_4,Q54.1_1,Q54.1_2,Q54.1_3,Q54.1_4,Q55.1_1,Q55.1_2,Q55.1_3,Q55.1_4,Q56.1_1,Q56.1_2,Q56.1_3,Q56.1_4,Q57.1_1,Q57.1_2,Q57.1_3,Q57.1_4,Q58.1_1,Q58.1_2,Q58.1_3,Q58.1_4,Q59.1_1,Q59.1_2,Q59.1_3,Q59.1_4,Q60.1_1,Q60.1_2,Q60.1_3,Q60.1_4,Q61.1_1,Q61.1_2,Q61.1_3,Q61.1_4,Q62.1_1,Q62.1_2,Q62.1_3,Q62.1_4,Q63.1,Q63.2
20/04/2021 17:34,20/04/2021 17:35,IP Address,75.6.216.189,100,104,TRUE,20/04/2021 17:35,R_3oBEJN6rh2m33rD,,,,,35.96099854,-78.92910004,anonymous,EN,"I agree to participate, begin the study",25 - 34,Liberal,Male,Somewhat strongly,White,,,Democrat,,"Fear: Is the politician inciting fear?,Anger: How angry is the Tweet?,Happiness: is the content of the Tweet inciting happiness?,Trust: Is the politician expressing trust?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,2,I paid close attention to the tweets.,"Anger,Fear,Happiness,Trust"
20/04/2021 17:38,20/04/2021 18:17,IP Address,73.94.205.87,100,2283,TRUE,20/04/2021 18:17,R_2sWNvH0qhzZJIIM,,,,,44.96910095,-93.28430176,anonymous,EN,"I agree to participate, begin the study",25 - 34,Liberal,Female,Somewhat strongly,White,,,Democrat,,"Anger: How angry is the Tweet?,Fear: Is the content of the Tweet inciting happiness?,Happiness: is the content of the Tweet inciting happiness?,Trust: How angry is the Tweet?",,,,,,,,,,,,,7,0,0,5,,,,,2,0,0,7,,,,,,,,,5,4,1,0,0,9,7,0,,,,,1,5,4,0,2,6,8,0,7,4,2,0,,,,,1,3,6,0,1,8,6,0,,,,,,,,,,,,,,,,,5,8,1,0,2,6,6,0,,,,,,,,,6,2,0,4,3,1,0,6,,,,,7,0,0,6,5,0,0,4,,,,,,,,,,,,,7,1,1,6,,,,,,,,,,,,,7,1,0,7,3,10,4,6,0,6,9,0,9,0,0,9,6,2,3,5,2,4,5,3,0,8,8,2,,,,,0,6,8,4,,,,,2,7,1,3,0,10,7,1,3,7,5,3,4,3,1,6,,,,,1,6,6,1,0,9,9,0,,,,,,,,,,,,,,,,,I paid close attention to the tweets.,"Anger,Fear,Happiness,Trust"
20/04/2021 17:39,20/04/2021 18:01,IP Address,68.131.241.245,100,1336,TRUE,20/04/2021 18:01,R_1Du1lZ2u9vXN5IN,,,,,36.79690552,-76.17970276,anonymous,EN,"I agree to participate, begin the study",35 - 44,Liberal,Female,Very strongly,White,,,Democrat,,"Fear: Is the politician inciting fear?,Anger: How angry is the Tweet?,Happiness: is the content of the Tweet inciting happiness?,Trust: Is the politician expressing trust?",8,0,0,9,8,0,0,9,,,,,,,,,,,,,,,,,,,,,8,0,0,9,0,9,9,0,,,,,,,,,,,,,,,,,4,5,5,0,0,6,6,0,,,,,0,7,6,0,,,,,,,,,0,9,7,0,0,9,8,0,2,7,0,0,,,,,0,7,5,0,,,,,8,0,0,9,9,0,0,9,,,,,9,0,0,10,,,,,,,,,0,9,9,0,,,,,,,,,9,0,0,10,8,0,0,9,7,0,0,8,9,0,0,9,,,,,0,9,10,0,6,0,0,7,,,,,7,0,0,9,,,,,0,8,7,0,,,,,5,8,8,3,0,7,3,0,,,,,,,,,4,0,0,2,0,0,0,8,3,5,5,2,,,,,3,5,0,0,,,,,5,8,6,0,,,,,I paid close attention to the tweets.,"Anger,Fear,Happiness,Trust"
20/04/2021 17:41,20/04/2021 18:01,IP Address,69.251.108.191,100,1203,TRUE,20/04/2021 18:01,R_se84e4aWUq5Jm1P,,,,,38.52810669,-76.98419952,anonymous,EN,"I agree to participate, begin the study",25 - 34,Slightly liberal,Female,Very strongly,White,,,Democrat,,"Fear: Is the politician inciting fear?,Anger: How angry is the Tweet?,Happiness: is the content of the Tweet inciting happiness?,Trust: Is the politician expressing trust?",2,0,0,10,6,0,0,9,0,0,0,10,,,,,3,0,0,9,,,,,,,,,0,0,0,9,,,,,,,,,0,1,0,8,1,9,1,0,,,,,,,,,0,10,0,0,,,,,,,,,,,,,0,5,9,0,,,,,,,,,0,3,0,0,,,,,0,3,1,0,,,,,0,0,0,10,,,,,0,0,0,10,,,,,,,,,7,0,0,10,0,0,0,0,0,0,0,8,0,4,0,2,1,1,0,10,2,0,0,4,0,0,0,3,,,,,,,,,0,10,9,0,1,0,0,6,7,2,0,0,,,,,0,2,1,1,1,1,0,0,1,6,0,0,,,,,,,,,0,0,0,1,,,,,0,0,0,0,,,,,,,,,0,9,7,0,0,0,0,2,,,,,,,,,,,,,I paid close attention to the tweets.,"Anger,Fear,Happiness,Trust"
20/04/2021 17:43,20/04/2021 17:51,IP Address,199.255.69.217,100,502,TRUE,20/04/2021 17:51,R_2Qf85cFrIchNZ3K,,,,,36.73139954,-88.65010071,anonymous,EN,"I agree to participate, begin the study",25 - 34,Extremely liberal,Male,Not very strongly,White,,,Democrat,,"Fear: Is the politician inciting fear?,Anger: How angry is the Tweet?,Happiness: is the content of the Tweet inciting happiness?,Trust: Is the politician expressing trust?",,,,,4,0,0,6,2,,,6,8,,,2,3,,,4,,,,,8,,,1,,,,,,,,,6,,,2,6,,,3,,,,,,,,,,8,6,,,,,,,8,6,,,,,,,8,7,,,8,6,,,,,,,,,,,,,,0,7,8,,,,,,,5,,3,,,,,,,,,3,4,2,4,,,,,7,1,,6,,,,,,,,,3,0,0,4,5,,0,5,7,4,0,6,,,,,,,,,2,,,3,,6,5,,,8,8,,,,,,,,,,,,,,,,,,,,,,,6,6,,8,3,2,4,,,,,,4,,2,,4,1,1,,8,1,,,1,,,4,3,1,1,,,,,,,,,,8,2,,,,,,6,1,,3,I paid close attention to the tweets.,"Anger,Fear,Happiness,Trust"
20/04/2021 17:43,20/04/2021 17:53,IP Address,47.204.35.119,100,570,TRUE,20/04/2021 17:53,R_vCd5weJpB3UGPBv,,,,,28.0980072,-81.49490356,anonymous,EN,"I agree to participate, begin the study",45 - 54,Slightly conservative,Male,Very strongly,Hispanic,,,Republican,,"Fear: Is the politician inciting fear?,Anger: How angry is the Tweet?,Happiness: is the content of the Tweet inciting happiness?,Trust: Is the politician expressing trust?",2,0,0,8,,,,,,,,,1,0,0,9,,,,,0,0,0,10,6,0,0,8,,,,,,,,,,,,,,,,,2,1,1,3,0,4,2,0,,,,,,,,,0,1,2,0,,,,,0,2,0,5,,,,,0,3,4,0,,2,3,,2,1,0,2,,,,,0,4,2,0,2,0,0,8,,,,,3,0,0,9,,,,,,,,,,,,,3,0,0,8,,,,,,,,,,,,,,,,,4,0,0,9,4,1,0,6,,,,,2,0,0,10,,,,,4,0,0,8,7,1,0,9,2,0,0,5,1,4,0,7,1,2,2,5,,,,,1,4,5,2,2,0,0,8,,,,,0,0,0,5,,,,,,,,,,,,,,7,2,4,0,3,0,5,,,,,0,5,3,5,6,0,0,9,I paid close attention to the tweets.,"Anger,Fear,Happiness,Trust"
20/04/2021 18:14,20/04/2021 18:37,IP Address,68.129.50.115,100,1371,TRUE,20/04/2021 18:37,R_2BnxogZ6c4AmiSh,,,,,40.63270569,-73.63330078,anonymous,EN,"I agree to participate, begin the study",25 - 34,Extremely conservative,Male,Very strongly,White,,,Republican,,"Fear: Is the politician inciting fear?,Happiness: is the content of the Tweet inciting happiness?,Trust: How angry is the Tweet?",8,3,0,5,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,7,,,,,1,5,0,0,,,,,2,5,1,0,3,6,2,0,,,,,1,6,2,0,,,,,2,5,1,0,,,,,,,,,,,,,,,,,1,5,0,0,1,4,8,0,3,5,0,0,,,,,,,,,8,0,0,8,,,,,1,4,0,5,3,5,0,4,6,0,0,9,2,4,0,0,7,0,0,6,8,0,0,6,6,1,0,8,7,1,1,8,6,1,1,7,,,,,2,4,4,1,,,,,,,,,,,,,,,,,,,,,3,6,2,3,4,5,1,3,2,4,5,1,,,,,2,6,4,1,,,,,,,,,2,5,1,3,,,,,,,,,3,5,2,2,2,6,3,1,1,8,4,0,0,7,3,0,I paid close attention to the tweets.,"Anger,Fear,Happiness,Trust"
20/04/2021 18:19,20/04/2021 18:26,IP Address,174.48.156.42,100,428,TRUE,20/04/2021 18:26,R_3rG17hN6meiCao7,,,,,26.07029724,-80.22480011,anonymous,EN,"I agree to participate, begin the study",25 - 34,Slightly conservative,Male,Very strongly,White,,,Republican,,"Anger: How angry is the Tweet?,Happiness: is the content of the Tweet inciting happiness?,Trust: Is the politician expressing trust?",2,2,5,4,,,,,5,5,3,4,,,,,,,,,6,3,3,3,5,3,5,4,,,,,4,2,6,2,,,,,,,,,,,,,,,,,5,5,7,2,4,2,2,2,,,,,6,4,5,3,,,,,,,,,6,3,3,3,2,5,3,2,,,,,5,4,3,2,,,,,2,4,5,3,,,,,2,3,2,2,,,,,4,4,2,6,,,,,,,,,4,3,2,2,7,4,4,2,,,,,,,,,2,4,4,3,4,3,3,6,3,2,2,7,,,,,5,3,4,5,2,5,3,2,,,,,9,6,4,2,,,,,2,4,3,2,,,,,3,3,2,2,2,2,2,6,5,4,2,4,,,,,3,3,4,2,3,6,3,5,2,3,2,8,,,,,,,,,,,,,4,3,3,2,,,,,I paid close attention to the tweets.,"Anger,Fear,Happiness,Trust"
20/04/2021 18:25,20/04/2021 18:33,IP Address,173.70.221.182,100,495,TRUE,20/04/2021 18:33,R_3EFloVVeEu7L5sL,,,,,40.89050293,-74.05039978,anonymous,EN,"I agree to participate, begin the study",25 - 34,Liberal,Male,Somewhat strongly,Black or African American,,,Independent,Democrats,"Fear: Is the politician inciting fear?,Anger: How angry is the Tweet?,Fear: Is the content of the Tweet inciting happiness?,Happiness: is the content of the Tweet inciting happiness?,Trust: Is the politician expressing trust?",,,,,8,,,6,,,,,,,,,2,,,9,,3,,8,,,,,7,,,4,,,,,,8,,,7,6,,6,,,,,3,8,,,,,,,,,,,,,,,,,,,1,8,,,1,8,3,,1,8,,,,,,,,,,,,,,,1,8,,,,,,,1,,,5,,,,,3,3,,8,,,,,7,6,,7,4,,,9,,,,,,,,,,,,,,4,,5,,4,,8,,,,,,,,,,7,,,,,,,2,1,,7,1,5,,1,,3,,7,,8,,,,,,,,7,,,6,5,,,3,6,,,,,,,5,4,,,,,,,,,,,,,,,,6,,,,4,,,,7,,,,,,,,6,,,I paid close attention to the tweets.,"Anger,Fear,Happiness,Trust"
20/04/2021 18:32,20/04/2021 18:57,IP Address,47.38.192.203,100,1481,TRUE,20/04/2021 18:57,R_rjrF2Sj1p47g7K1,,,,,32.86849976,-97.28630066,anonymous,EN,"I agree to participate, begin the study",35 - 44,Slightly conservative,Female,Somewhat strongly,White,,,Republican,,"Fear: Is the politician inciting fear?,Anger: How angry is the Tweet?,Happiness: is the content of the Tweet inciting happiness?,Trust: Is the politician expressing trust?",,,,,9,0,0,8,0,0,0,8,2,0,0,4,9,0,0,5,,,,,7,0,0,3,,,,,3,6,3,0,,,,,0,3,2,3,,,,,,,,,4,0,0,0,,,,,3,4,7,0,,,,,0,1,0,0,2,3,7,0,,,,,0,2,7,0,,,,,,,,,,,,,3,0,0,6,,,,,2,0,0,6,6,0,0,10,,,,,,,,,,,,,,,,,2,0,0,5,,,,,,,,,,,,,0,0,0,9,4,0,0,6,,,,,0,4,7,0,,,,,4,0,0,0,,,,,0,0,4,2,0,8,3,0,,,,,,,,,,,,,0,0,0,4,3,5,0,0,,,,,2,7,0,1,0,1,0,1,0,2,3,0,0,4,0,0,0,7,2,0,0,6,5,0,,,,,I paid close attention to the tweets.,"Anger,Fear,Happiness,Trust"
