@relation R_data_frame

@attribute ID string
@attribute Tweet string
@attribute Affect_Dimension string
@attribute Intensity_Class {0,1,2,3}
@attribute mpqa-posCount numeric
@attribute mpqa-negCount numeric
@attribute BingLiu-posCount numeric
@attribute BingLiu-negCount numeric
@attribute AFINN-posScore numeric
@attribute AFINN-negScore numeric
@attribute S140-posScore numeric
@attribute S140-negScore numeric
@attribute NRC-Hash-Sent-posScore numeric
@attribute NRC-Hash-Sent-negScore numeric
@attribute NRC-10-anger numeric
@attribute NRC-10-anticipation numeric
@attribute NRC-10-disgust numeric
@attribute NRC-10-fear numeric
@attribute NRC-10-joy numeric
@attribute NRC-10-sadness numeric
@attribute NRC-10-surprise numeric
@attribute NRC-10-trust numeric
@attribute NRC-10-negative numeric
@attribute NRC-10-positive numeric
@attribute NRC-10-Expanded-anger numeric
@attribute NRC-10-Expanded-anticipation numeric
@attribute NRC-10-Expanded-disgust numeric
@attribute NRC-10-Expanded-fear numeric
@attribute NRC-10-Expanded-joy numeric
@attribute NRC-10-Expanded-sadness numeric
@attribute NRC-10-Expanded-surprise numeric
@attribute NRC-10-Expanded-trust numeric
@attribute NRC-10-Expanded-negative numeric
@attribute NRC-10-Expanded-positive numeric
@attribute NRC-Hash-Emo-anger numeric
@attribute NRC-Hash-Emo-anticipation numeric
@attribute NRC-Hash-Emo-disgust numeric
@attribute NRC-Hash-Emo-fear numeric
@attribute NRC-Hash-Emo-joy numeric
@attribute NRC-Hash-Emo-sadness numeric
@attribute NRC-Hash-Emo-surprise numeric
@attribute NRC-Hash-Emo-trust numeric
@attribute SentiWordnet-posScore numeric
@attribute SentiWordnet-negScore numeric
@attribute Emoticons-posScore numeric
@attribute Emoticons-negScore numeric
@attribute Negation-negationCount numeric
@attribute neg_anger numeric
@attribute neg_disgust numeric
@attribute neg_fear numeric
@attribute neg_joy numeric
@attribute neg_sadness numeric
@attribute neg_surprise numeric
@attribute neg_trust numeric
@attribute neg_anticipation numeric
@attribute class_anger_binary {0,1}
@attribute class_anger_trinary {0,1,2}

@data
2017-En-10264,'@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended',anger,2,0,0,1,0,1,0,1.647,-0.523,0.266,-1.589,0,0,0,0,0,0,0,0,0,1,0.285238,0.238246,0.089085,0.154166,0.256106,0.063992,0.194838,0.344406,0.762676,0.806499,1.915036,0.035355,0.190261,0,0,0,0.129637,0.623672,0.38244,-0.1875,0,0,0,0,0,0,0,0,0,0,0,1,1
2017-En-10072,'it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao',anger,3,1,2,1,3,7,-11,1.683,-8.723,0.542,-9.265,1,0,0,0,0,0,0,0,1,0,2.73942,0.585882,2.875181,2.178006,0.603136,1.69125,0.459122,1.154094,6.432488,1.533692,3.325913,0.037255,3.297178,0,1.018517,0.470082,0.108768,0.611731,0.76875,-0.952494,0,0,0,1,0,0,0,0,0,0,0,1,2
2017-En-11383,'Lol Adam the Bull with his fake outrage...',anger,1,1,2,0,2,3,-6,1.17,-1.017,1.04,-4.074,1,0,1,0,0,0,0,0,2,0,0.475106,0.181741,0.63044,0.395886,0.164151,0.098654,0.114421,0.162374,1.813373,0.459648,1.087489,0.564753,1.903307,0,0.124434,0,0.661721,0,0,-1.6625,0,0,0,1,1,0,0,0,0,0,0,0,2
2017-En-11102,'@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That\"s rough stuff',anger,0,0,2,1,3,0,-5,4.172,-6.205,5.101,-3.333,1,0,1,1,0,2,1,0,3,0,0.938394,0.964073,0.859367,1.02391,0.651125,0.794929,0.593938,1.039483,3.650333,2.332629,1.838857,1.596583,0.46416,2.269555,1.190611,1.186166,1.385692,0.09642,0.188799,-1.817117,0,0,0,1,1,1,0,2,1,0,0,0,0
2017-En-11506,'@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!',anger,1,2,0,1,0,10,0,4.992,-4.87,0.705,-9.655,0,0,0,0,0,0,0,0,0,0,2.086908,1.001801,1.673178,1.315661,1.067677,1.078465,0.981986,1.321729,7.361494,2.862679,0.923122,0.722449,1.903469,0.233477,0,0.782949,2.896542,0.815601,1.081733,-0.125,0,0,1,-0,-0,-0,-0,-0,-0,-0,-0,0,2
2017-En-10779,'I need a Ã°Å¸?Â±sushi dateÃ°Å¸?â„¢ @AnzalduaG Ã°Å¸??an olive guarded dateÃ°Å¸Â§â‚¬ @lexiereid369 and a Ã°Å¸â€˜Å Ã°Å¸?Â¼Rockys dateÃ°Å¸?â€¢ ',anger,0,0,0,0,0,0,0,0.802,-0.86,2.73,-0.772,0,0,0,0,0,0,0,1,0,0,0.37528,0.361252,0.301087,0.283765,0.302045,0.164382,0.230268,0.409606,1.79561,1.084154,0.18977,0.232145,0.269336,0.138215,0.519625,0.061098,0,0,0.3125,-0.366667,0,0,0,0,0,0,0,0,0,1,0,0,0
2017-En-11588,'And Republicans, you, namely Graham, Flake, Sasse and others are not safe from my wrath, hence that Hillary Hiney-Kissing ad I saw about you',anger,0,1,2,1,2,1,0,5.502,-2.688,3.542,-6.715,1,0,0,1,1,0,0,1,2,1,1.281828,0.871001,0.942058,1.06835,0.864486,0.697606,0.483432,1.76441,5.182715,3.813046,1.947629,1.829664,2.387344,1.287207,0.345081,0,1.037772,1.145791,0.672917,-0.895833,0,0,1,-1,-0,-1,-1,-0,-0,-1,-0,0,0
2017-En-11282,'@leepg \n\nLike a rabid dog I pulled out the backs of my cupboards looking for a bakewell..Found a french fancie &amp; a mini batternburg #Winner!',anger,0,1,0,1,1,3,0,4.035,-3.568,6.3,-6.246,1,1,1,1,1,1,0,1,1,1,1.239579,0.888675,1.322144,1.146907,0.740664,0.484479,0.448129,0.884472,4.847834,2.535756,0.365594,0.562302,1.083972,1.039715,0.351338,0,2.043043,0,0.76875,-1.65928,0,0,0,1,1,1,1,1,0,1,1,0,0
2017-En-11507,'@MisterAK47 it\"s very telling that racist bigots always resort to the insult \"fag\" like that\"s worse than being a racist bigot.',anger,2,1,4,1,4,2,-14,3.134,-4.262,0.708,-9.347,2,0,2,2,0,2,1,0,3,0,3.659518,0.745884,4.517044,2.870124,0.701907,1.758143,0.703587,1.120545,9.41027,2.568697,1.139503,0.091207,5.780305,0.063628,0.463536,0,0.091362,0.207212,1.352083,-1.191833,0,0,0,2,2,2,0,2,1,0,0,1,1
2017-En-10849,'Follow up. Follow through. Be #relentless. #success',anger,0,0,0,0,0,0,0,2.594,-0.462,2.957,-0.18,0,0,0,0,0,0,0,0,0,0,0.297205,0.431437,0.17705,0.272417,0.276147,0.167113,0.203037,0.339653,1.177245,0.887371,0.198014,0,0,0.357201,1.748674,0.522653,0.06535,2.265651,0.499475,-0.083333,0,0,0,0,0,0,0,0,0,0,0,0,0
